unique_identifier,timestamp,price
BTC-AUD,1557151768903237,564506
LTC-AUD,1557151768911237,7708
LTC-AUD,1557151768911237,7708
LTC-AUD,1557151768911237,7715
LTC-AUD,1557151768911238,7715
LTC-AUD,1557151768911239,7715
LTC-AUD,1557151768911239,7715
LTC-AUD,1557151768911237,7715
ZEC-AUD,1557151768971240,6759
ZEC-AUD,1557151768971241,6759
BTC-AUD,1557151769167247,558929
ZEC-AUD,1557151769167257,6460
ETH-AUD,1557152251432139,18602
ETH-AUD,1557152251432140,18602
ETH-AUD,1557152251432140,18598
ETH-AUD,1557152251432141,18598
ETH-AUD,1557152251432142,18598
LTC-AUD,1557152251842141,7192
LTC-AUD,1557152251842157,7201
LTC-AUD,1557152251968141,7192
LTC-AUD,1557152251968141,7192
LTC-AUD,1557152251968141,7201
LTC-AUD,1557152251968141,7201
LTC-AUD,1557152252347143,7195
ZEC-AUD,1557152252347156,6463
LTC-AUD,1557152252347159,7196
ZEC-AUD,1557152252662142,6463
ZEC-AUD,1557152252662142,6463
LTC-AUD,1557152252669142,7195
LTC-AUD,1557152252669143,7195
LTC-AUD,1557152252669144,7195
LTC-AUD,1557152252669144,7196
LTC-AUD,1557152252669145,7196
LTC-AUD,1557152252669146,7196
BTC-AUD,1557152252848152,562245
BTC-AUD,1557152252917143,562245
BTC-AUD,1557152252917144,562245
BTC-AUD,1557152252917145,562245
BTC-AUD,1557152253493147,563930
BTC-AUD,1557152253493148,563930
ZEC-AUD,1557152253854166,6468
ZEC-AUD,1557152254037147,6468
ZEC-AUD,1557152254859154,6476
ZEC-AUD,1557152255371168,6464
ZEC-AUD,1557152255434153,6476
ZEC-AUD,1557152255434153,6476
ZEC-AUD,1557152255682155,6464
ZEC-AUD,1557152255878158,6455
ZEC-AUD,1557152255974155,6455
ZEC-AUD,1557152255974155,6455
LTC-AUD,1557152256899177,7199
LTC-AUD,1557152256995159,7199
LTC-AUD,1557152256995159,7199
BTC-AUD,1557152257402166,561667
BTC-AUD,1557152257715163,561667
BTC-AUD,1557151769282238,558929
BTC-AUD,1557151769282238,558929
ZEC-AUD,1557151769283240,6460
ZEC-AUD,1557151769283241,6460
ZEC-AUD,1557151769283242,6460
ETH-AUD,1557151769346246,18606
ETH-AUD,1557151769478239,18606
ETH-AUD,1557151769478240,18606
ETH-AUD,1557151769478241,18606
BTC-AUD,1557151769667257,558349
ZEC-AUD,1557151769741242,6479
BTC-AUD,1557151769741241,558349
BTC-AUD,1557151769741241,558349
ZEC-AUD,1557151911231797,6261
ZEC-AUD,1557151659820807,6840
ZEC-AUD,1557151659820807,6840
ZEC-AUD,1557151911231797,6261
ETH-AUD,1557151911243797,18575
ZEC-AUD,1557151911418817,6732
LTC-AUD,1557151911647801,7429
ZEC-AUD,1557151911694799,6732
ZEC-AUD,1557151911694800,6732
LTC-AUD,1557151911919802,7553
ETH-AUD,1557151486600125,18378
ETH-AUD,1557151486600125,18378
LTC-AUD,1557151486611125,7712
LTC-AUD,1557151486611125,7712
ZEC-AUD,1557151487034142,6872
ZEC-AUD,1557151487120127,6872
BTC-AUD,1557151487254128,553691
BTC-AUD,1557151770170259,558351
LTC-AUD,1557151770359252,7699
ETH-AUD,1557158419137763,0
ETH-AUD,1557151770671252,18000
LTC-AUD,1557151770711244,7699
LTC-AUD,1557151770711244,7699
ETH-AUD,1557151770749244,18000
ETH-AUD,1557151770749245,18000
ETH-AUD,1557151770749246,18000
LTC-AUD,1557151770869262,7720
ZEC-AUD,1557151770965248,6763
LTC-AUD,1557151770979245,7720
LTC-AUD,1557151770979245,7720
BTC-AUD,1557152257715163,561667
BTC-AUD,1557151548462368,555847
BTC-AUD,1557151548462368,555847
ZEC-AUD,1557151548578372,6733
LTC-AUD,1557151912073801,7553
ZEC-AUD,1557151611594617,6809
LTC-AUD,1557151612015625,7579
LTC-AUD,1557151612274620,7579
LTC-AUD,1557151612274620,7579
LTC-AUD,1557151612340626,7706
LTC-AUD,1557151612471621,7706
LTC-AUD,1557151612471621,7706
ZEC-AUD,1557151612517624,6624
ZEC-AUD,1557151612696621,6624
ZEC-AUD,1557151612840633,6794
ZEC-AUD,1557151612980623,6794
ZEC-AUD,1557151612980623,6794
BTC-AUD,1557151613342633,558526
LTC-AUD,1557151912073801,7553
LTC-AUD,1557151912148802,7429
ZEC-AUD,1557151912420809,6740
ZEC-AUD,1557151912508802,6740
ETH-AUD,1557151912922824,18672
ETH-AUD,1557151913037804,18672
ETH-AUD,1557151913037804,18672
BTC-AUD,1557151913080821,563783
BTC-AUD,1557151913235805,563783
BTC-AUD,1557151913235805,563783
ETH-AUD,1557151913239807,18575
ETH-AUD,1557151913239808,18567
ETH-AUD,1557151913239809,18567
BTC-AUD,1557151498080183,551466
LTC-AUD,1557151498168170,7769
LTC-AUD,1557151498168170,7769
LTC-AUD,1557151498168170,7752
LTC-AUD,1557151498168171,7752
LTC-AUD,1557151498168172,7752
LTC-AUD,1557151498168173,7735
LTC-AUD,1557151498168173,7752
LTC-AUD,1557151498182171,7735
BTC-AUD,1557151498190170,551466
BTC-AUD,1557151498190170,551466
ZEC-AUD,1557151498303182,6800
ETH-AUD,1557151392184753,18815
LTC-AUD,1557151392217770,7652
LTC-AUD,1557151392630754,7652
LTC-AUD,1557151392630755,7652
LTC-AUD,1557151392630754,7652
ETH-AUD,1557151392719762,18485
ETH-AUD,1557151392934755,18485
ETH-AUD,1557151392934756,18485
LTC-AUD,1557151393117762,7768
LTC-AUD,1557151393117774,7773
ETH-AUD,1557151393220757,18838
LTC-AUD,1557151393191756,7768
LTC-AUD,1557151393191756,7768
LTC-AUD,1557151393192756,7773
BTC-AUD,1557151393769767,548295
LTC-AUD,1557151394133766,7768
BTC-AUD,1557151394195760,548295
BTC-AUD,1557151394195761,548295
BTC-AUD,1557151394195760,548295
BTC-AUD,1557151394273761,547739
BTC-AUD,1557151394273777,547740
LTC-AUD,1557151394301760,7768
LTC-AUD,1557151394301761,7768
LTC-AUD,1557151394301762,7768
BTC-AUD,1557151394427766,547739
BTC-AUD,1557151394428761,547740
BTC-AUD,1557151394428761,547740
LTC-AUD,1557151394636768,7781
ZEC-AUD,1557151394636777,6795
LTC-AUD,1557151394728762,7781
LTC-AUD,1557151394728762,7781
ZEC-AUD,1557151394767762,6795
ZEC-AUD,1557151394767762,6795
BTC-AUD,1557151394776771,547204
LTC-AUD,1557151394776772,7630
LTC-AUD,1557151394924763,7630
BTC-AUD,1557151394926763,547204
BTC-AUD,1557151394926764,547204
BTC-AUD,1557151394926765,547204
BTC-AUD,1557151395783775,548303
ZEC-AUD,1557151395783777,6907
ZEC-AUD,1557151395638781,6803
BTC-AUD,1557151396030767,548303
ZEC-AUD,1557151487311130,6872
ZEC-AUD,1557151487312129,6872
BTC-AUD,1557151487323128,553691
BTC-AUD,1557151487323129,553691
ZEC-AUD,1557151487346129,6872
BTC-AUD,1557151487538146,553142
BTC-AUD,1557151487911131,553691
BTC-AUD,1557151487926130,553142
BTC-AUD,1557151487926131,553142
BTC-AUD,1557151487926132,553142
BTC-AUD,1557151488039131,553689
BTC-AUD,1557151488141131,553689
BTC-AUD,1557151488141131,553689
BTC-AUD,1557151488540145,553135
BTC-AUD,1557151488616133,553135
BTC-AUD,1557151488616133,553135
ZEC-AUD,1557151488759140,6795
BTC-AUD,1557151774631259,563943
LTC-AUD,1557151774639259,7688
LTC-AUD,1557151774639259,7688
ZEC-AUD,1557151749165170,6755
ETH-AUD,1557151749165171,18502
ZEC-AUD,1557151749462160,6763
ZEC-AUD,1557151749462160,6755
ZEC-AUD,1557151488828134,6795
ZEC-AUD,1557151488828134,6795
BTC-AUD,1557151488827134,553709
BTC-AUD,1557151488827134,553709
ETH-AUD,1557151489260147,18802
ZEC-AUD,1557151749462160,6755
ETH-AUD,1557151749518160,18502
ETH-AUD,1557151749518161,18502
BTC-AUD,1557151749666178,557252
LTC-AUD,1557151749666179,7782
BTC-AUD,1557151749823164,557252
BTC-AUD,1557151749823164,557252
LTC-AUD,1557151749883162,7782
LTC-AUD,1557151749883162,7782
BTC-AUD,1557151750001163,552828
BTC-AUD,1557151750106163,552828
BTC-AUD,1557151750106163,552828
ETH-AUD,1557151750502172,18181
ZEC-AUD,1557151750502175,6497
ZEC-AUD,1557151524750286,6911
ZEC-AUD,1557151524826275,6911
ZEC-AUD,1557151524826275,6911
LTC-AUD,1557151524866276,7762
LTC-AUD,1557151524866277,7762
LTC-AUD,1557151524866278,7762
ZEC-AUD,1557151524942279,6771
ZEC-AUD,1557151524942283,6747
BTC-AUD,1557151774680272,560039
BTC-AUD,1557151774680276,560019
BTC-AUD,1557151774838260,560039
BTC-AUD,1557151774838261,560039
BTC-AUD,1557151774839260,560019
BTC-AUD,1557151774839260,560019
BTC-AUD,1557151774971262,560039
LTC-AUD,1557151913580820,7400
BTC-AUD,1557151353114597,545610
BTC-AUD,1557151353114598,545610
ETH-AUD,1557151353139601,18496
LTC-AUD,1557151353341600,7813
ZEC-AUD,1557151353341605,6848
ETH-AUD,1557151353341606,18976
BTC-AUD,1557151353527616,546163
ZEC-AUD,1557151353573599,6848
ETH-AUD,1557151353666599,18976
LTC-AUD,1557151353674599,7813
BTC-AUD,1557151353772600,546163
BTC-AUD,1557151353772600,546163
LTC-AUD,1557151353821602,7813
ETH-AUD,1557151353842608,18953
ETH-AUD,1557151354006600,18953
ETH-AUD,1557151354006600,18953
ZEC-AUD,1557151354040604,6987
ZEC-AUD,1557151354295602,6987
LTC-AUD,1557151489354136,7574
ETH-AUD,1557151489346136,18802
ETH-AUD,1557151489346136,18802
ETH-AUD,1557151489548152,18380
LTC-AUD,1557151489548154,7724
ETH-AUD,1557151489746137,18380
ETH-AUD,1557151489746137,18380
LTC-AUD,1557151489747137,7724
LTC-AUD,1557151489747138,7724
LTC-AUD,1557151489747139,7724
ETH-AUD,1557151490050150,18381
BTC-AUD,1557151490050151,553129
LTC-AUD,1557151490050152,7745
BTC-AUD,1557151490224139,553129
LTC-AUD,1557151490228139,7745
LTC-AUD,1557151490228139,7745
ETH-AUD,1557151490225139,18381
ETH-AUD,1557151490225140,18381
